service_id,date,exception_type
2026_01_12-DX-MVS-Weekday-001,20260119,2
2026_01_12-DX-MVS-Weekday-001,20260216,2
2026_01_12-DX-MVS-Weekday-001,20260525,2
2026_01_12-SA-MVS-Saturday-005,20260704,2
2026_01_12-SA-MVS-Saturday-005,20260119,1
2026_01_12-SA-MVS-Saturday-005,20260216,1
2026_01_12-SU-MVS-Sunday-007,20260525,1
2026_01_12-SU-MVS-Sunday-007,20260704,1
2026_01_12-DX19-Weekday-001,20260119,2
2026_01_12-DX19-Weekday-001,20260216,2
2026_01_12-DX19-Weekday-001,20260525,2
2026_01_12-SA19-Saturday-001,20260704,2
2026_01_12-SA19-Saturday-001,20260119,1
2026_01_12-SA19-Saturday-001,20260216,1
2026_01_12-SU19-Sunday-001,20260525,1
2026_01_12-SU19-Sunday-001,20260704,1
2026_01_12-DX20-Weekday-001,20260119,2
2026_01_12-DX20-Weekday-001,20260216,2
2026_01_12-DX20-Weekday-001,20260525,2
2026_01_12-SA20-Saturday-001,20260704,2
2026_01_12-SA20-Saturday-001,20260119,1
2026_01_12-SA20-Saturday-001,20260216,1
2026_01_12-SU20-Sunday-001,20260525,1
2026_01_12-SU20-Sunday-001,20260704,1
