fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,7.55,USD,1,,
2,4.25,USD,1,,
3,10.10,USD,1,,
4,4.25,USD,1,,
5,8.70,USD,1,,
6,7.00,USD,1,,
7,6.70,USD,1,,
8,6.50,USD,1,,
9,6.25,USD,1,,
10,6.15,USD,1,,
11,6.05,USD,1,,
12,5.90,USD,1,,
13,5.75,USD,1,,
14,5.75,USD,1,,
15,5.75,USD,1,,
16,6.15,USD,1,,
17,6.40,USD,1,,
18,6.75,USD,1,,
19,7.10,USD,1,,
20,7.45,USD,1,,
21,7.85,USD,1,,
22,8.50,USD,1,,
23,8.95,USD,1,,
24,7.45,USD,1,,
25,8.90,USD,1,,
26,9.45,USD,1,,
27,8.80,USD,1,,
28,4.25,USD,1,,
29,8.50,USD,1,,
30,7.95,USD,1,,
31,7.80,USD,1,,
32,7.30,USD,1,,
33,6.80,USD,1,,
34,6.10,USD,1,,
35,5.65,USD,1,,
36,5.15,USD,1,,
37,5.15,USD,1,,
38,5.15,USD,1,,
39,5.15,USD,1,,
40,4.95,USD,1,,
41,4.80,USD,1,,
42,4.45,USD,1,,
43,4.25,USD,1,,
44,4.25,USD,1,,
45,14.30,USD,1,,
46,9.50,USD,1,,
47,10.45,USD,1,,
48,10.80,USD,1,,
49,9.65,USD,1,,
50,10.50,USD,1,,
51,4.25,USD,1,,
52,7.55,USD,1,,
53,10.10,USD,1,,
54,4.25,USD,1,,
55,9.05,USD,1,,
56,7.35,USD,1,,
57,7.05,USD,1,,
58,6.85,USD,1,,
59,6.60,USD,1,,
60,6.50,USD,1,,
61,6.40,USD,1,,
62,6.25,USD,1,,
63,6.10,USD,1,,
64,6.10,USD,1,,
65,6.10,USD,1,,
66,6.50,USD,1,,
67,6.75,USD,1,,
68,7.10,USD,1,,
69,7.45,USD,1,,
70,7.80,USD,1,,
71,8.20,USD,1,,
72,8.85,USD,1,,
73,9.30,USD,1,,
74,7.80,USD,1,,
75,9.25,USD,1,,
76,9.80,USD,1,,
77,9.10,USD,1,,
78,4.25,USD,1,,
79,8.85,USD,1,,
80,8.30,USD,1,,
81,8.10,USD,1,,
82,7.65,USD,1,,
83,7.15,USD,1,,
84,6.40,USD,1,,
85,6.00,USD,1,,
86,5.70,USD,1,,
87,5.70,USD,1,,
88,5.70,USD,1,,
89,5.70,USD,1,,
90,5.45,USD,1,,
91,5.30,USD,1,,
92,5.00,USD,1,,
93,4.80,USD,1,,
94,4.25,USD,1,,
95,14.65,USD,1,,
96,9.85,USD,1,,
97,10.80,USD,1,,
98,11.10,USD,1,,
99,10.00,USD,1,,
100,10.85,USD,1,,
101,10.10,USD,1,,
102,10.10,USD,1,,
103,7.55,USD,1,,
104,5.85,USD,1,,
105,15.15,USD,1,,
106,13.45,USD,1,,
107,13.15,USD,1,,
108,12.95,USD,1,,
109,12.70,USD,1,,
110,12.60,USD,1,,
111,12.50,USD,1,,
112,12.35,USD,1,,
113,12.20,USD,1,,
114,12.20,USD,1,,
115,12.20,USD,1,,
116,12.60,USD,1,,
117,12.85,USD,1,,
118,13.20,USD,1,,
119,13.55,USD,1,,
120,13.90,USD,1,,
121,14.30,USD,1,,
122,14.95,USD,1,,
123,15.40,USD,1,,
124,13.90,USD,1,,
125,15.35,USD,1,,
126,15.90,USD,1,,
127,15.20,USD,1,,
128,10.50,USD,1,,
129,14.95,USD,1,,
130,14.40,USD,1,,
131,14.20,USD,1,,
132,13.75,USD,1,,
133,13.25,USD,1,,
134,12.55,USD,1,,
135,12.10,USD,1,,
136,11.80,USD,1,,
137,11.80,USD,1,,
138,11.80,USD,1,,
139,11.80,USD,1,,
140,11.70,USD,1,,
141,11.60,USD,1,,
142,11.25,USD,1,,
143,11.10,USD,1,,
144,10.80,USD,1,,
145,20.75,USD,1,,
146,15.95,USD,1,,
147,16.90,USD,1,,
148,17.25,USD,1,,
149,16.10,USD,1,,
150,16.95,USD,1,,
151,4.25,USD,1,,
152,4.25,USD,1,,
153,5.85,USD,1,,
154,7.55,USD,1,,
155,9.45,USD,1,,
156,7.75,USD,1,,
157,7.50,USD,1,,
158,7.30,USD,1,,
159,7.05,USD,1,,
160,6.95,USD,1,,
161,6.85,USD,1,,
162,6.70,USD,1,,
163,6.55,USD,1,,
164,6.55,USD,1,,
165,6.55,USD,1,,
166,6.90,USD,1,,
167,7.15,USD,1,,
168,7.55,USD,1,,
169,7.85,USD,1,,
170,8.25,USD,1,,
171,8.60,USD,1,,
172,9.25,USD,1,,
173,9.70,USD,1,,
174,8.25,USD,1,,
175,9.70,USD,1,,
176,10.25,USD,1,,
177,9.55,USD,1,,
178,4.90,USD,1,,
179,9.30,USD,1,,
180,8.75,USD,1,,
181,8.55,USD,1,,
182,8.10,USD,1,,
183,7.60,USD,1,,
184,6.85,USD,1,,
185,6.45,USD,1,,
186,6.15,USD,1,,
187,6.15,USD,1,,
188,6.15,USD,1,,
189,6.15,USD,1,,
190,6.05,USD,1,,
191,6.00,USD,1,,
192,5.65,USD,1,,
193,5.50,USD,1,,
194,5.20,USD,1,,
195,15.10,USD,1,,
196,10.30,USD,1,,
197,11.25,USD,1,,
198,11.55,USD,1,,
199,10.45,USD,1,,
200,11.30,USD,1,,
201,8.70,USD,1,,
202,9.05,USD,1,,
203,15.15,USD,1,,
204,9.45,USD,1,,
205,7.55,USD,1,,
206,6.80,USD,1,,
207,6.50,USD,1,,
208,6.30,USD,1,,
209,6.05,USD,1,,
210,6.00,USD,1,,
211,5.90,USD,1,,
212,5.70,USD,1,,
213,5.60,USD,1,,
214,5.60,USD,1,,
215,5.60,USD,1,,
216,5.25,USD,1,,
217,5.00,USD,1,,
218,4.65,USD,1,,
219,2.55,USD,1,,
220,4.65,USD,1,,
221,5.05,USD,1,,
222,5.70,USD,1,,
223,6.15,USD,1,,
224,2.55,USD,1,,
225,2.55,USD,1,,
226,9.05,USD,1,,
227,8.35,USD,1,,
228,8.45,USD,1,,
229,8.10,USD,1,,
230,7.55,USD,1,,
231,7.35,USD,1,,
232,6.90,USD,1,,
233,6.40,USD,1,,
234,5.70,USD,1,,
235,5.70,USD,1,,
236,7.85,USD,1,,
237,7.85,USD,1,,
238,7.85,USD,1,,
239,7.85,USD,1,,
240,7.95,USD,1,,
241,8.05,USD,1,,
242,8.25,USD,1,,
243,8.30,USD,1,,
244,8.50,USD,1,,
245,12.90,USD,1,,
246,6.70,USD,1,,
247,7.65,USD,1,,
248,8.00,USD,1,,
249,9.25,USD,1,,
250,10.10,USD,1,,
251,7.00,USD,1,,
252,7.35,USD,1,,
253,13.45,USD,1,,
254,7.75,USD,1,,
255,6.80,USD,1,,
256,7.55,USD,1,,
257,2.55,USD,1,,
258,2.55,USD,1,,
259,2.55,USD,1,,
260,2.55,USD,1,,
261,2.55,USD,1,,
262,3.55,USD,1,,
263,3.80,USD,1,,
264,3.80,USD,1,,
265,3.80,USD,1,,
266,4.20,USD,1,,
267,4.50,USD,1,,
268,4.90,USD,1,,
269,5.20,USD,1,,
270,5.55,USD,1,,
271,5.95,USD,1,,
272,6.60,USD,1,,
273,7.05,USD,1,,
274,5.55,USD,1,,
275,7.00,USD,1,,
276,7.10,USD,1,,
277,6.40,USD,1,,
278,6.75,USD,1,,
279,6.15,USD,1,,
280,5.60,USD,1,,
281,5.40,USD,1,,
282,4.95,USD,1,,
283,4.45,USD,1,,
284,3.55,USD,1,,
285,4.00,USD,1,,
286,6.15,USD,1,,
287,6.15,USD,1,,
288,6.15,USD,1,,
289,6.15,USD,1,,
290,6.25,USD,1,,
291,6.35,USD,1,,
292,6.50,USD,1,,
293,6.60,USD,1,,
294,6.80,USD,1,,
295,12.45,USD,1,,
296,7.60,USD,1,,
297,8.55,USD,1,,
298,8.90,USD,1,,
299,7.30,USD,1,,
300,8.15,USD,1,,
301,6.70,USD,1,,
302,7.05,USD,1,,
303,13.15,USD,1,,
304,7.50,USD,1,,
305,6.50,USD,1,,
306,2.55,USD,1,,
307,7.55,USD,1,,
308,2.55,USD,1,,
309,2.55,USD,1,,
310,2.55,USD,1,,
311,2.55,USD,1,,
312,3.05,USD,1,,
313,3.35,USD,1,,
314,3.35,USD,1,,
315,3.35,USD,1,,
316,3.95,USD,1,,
317,4.20,USD,1,,
318,4.60,USD,1,,
319,4.90,USD,1,,
320,5.30,USD,1,,
321,5.70,USD,1,,
322,6.30,USD,1,,
323,6.80,USD,1,,
324,5.30,USD,1,,
325,6.75,USD,1,,
326,6.80,USD,1,,
327,6.15,USD,1,,
328,6.45,USD,1,,
329,5.90,USD,1,,
330,5.35,USD,1,,
331,5.15,USD,1,,
332,4.70,USD,1,,
333,4.20,USD,1,,
334,3.15,USD,1,,
335,3.55,USD,1,,
336,5.90,USD,1,,
337,5.90,USD,1,,
338,5.90,USD,1,,
339,5.90,USD,1,,
340,6.00,USD,1,,
341,6.05,USD,1,,
342,6.25,USD,1,,
343,6.35,USD,1,,
344,6.50,USD,1,,
345,12.15,USD,1,,
346,7.35,USD,1,,
347,8.30,USD,1,,
348,8.60,USD,1,,
349,7.05,USD,1,,
350,7.85,USD,1,,
351,6.50,USD,1,,
352,6.85,USD,1,,
353,12.95,USD,1,,
354,7.30,USD,1,,
355,6.30,USD,1,,
356,2.55,USD,1,,
357,2.55,USD,1,,
358,7.55,USD,1,,
359,2.55,USD,1,,
360,2.55,USD,1,,
361,2.55,USD,1,,
362,2.70,USD,1,,
363,3.00,USD,1,,
364,3.00,USD,1,,
365,3.00,USD,1,,
366,3.60,USD,1,,
367,4.00,USD,1,,
368,4.40,USD,1,,
369,4.70,USD,1,,
370,5.05,USD,1,,
371,5.45,USD,1,,
372,6.10,USD,1,,
373,6.55,USD,1,,
374,5.05,USD,1,,
375,6.50,USD,1,,
376,6.60,USD,1,,
377,5.95,USD,1,,
378,6.25,USD,1,,
379,5.65,USD,1,,
380,5.15,USD,1,,
381,4.95,USD,1,,
382,4.45,USD,1,,
383,3.85,USD,1,,
384,2.80,USD,1,,
385,3.20,USD,1,,
386,5.70,USD,1,,
387,5.70,USD,1,,
388,5.70,USD,1,,
389,5.70,USD,1,,
390,5.75,USD,1,,
391,5.85,USD,1,,
392,6.05,USD,1,,
393,6.10,USD,1,,
394,6.30,USD,1,,
395,11.95,USD,1,,
396,7.10,USD,1,,
397,8.05,USD,1,,
398,8.40,USD,1,,
399,6.80,USD,1,,
400,7.65,USD,1,,
401,6.25,USD,1,,
402,6.60,USD,1,,
403,12.70,USD,1,,
404,7.05,USD,1,,
405,6.05,USD,1,,
