shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
001A_shp,37.99538897,-121.780434326999,1,0
001A_shp,37.995510942,-121.781111044999,2,20
001A_shp,37.995629325,-121.781788781999,3,40
001A_shp,37.995744108,-121.782467506999,4,60
001A_shp,37.995854744,-121.783147330999,5,80
001A_shp,37.995956886,-121.783829262999,6,100
001A_shp,37.996060926,-121.784510726999,7,120
001A_shp,37.996174178,-121.785189867999,8,140
001A_shp,37.996290265,-121.785868244999,9,160
001A_shp,37.996408316,-121.786546081999,10,180
001A_shp,37.996526518,-121.787223877999,11,200
001A_shp,37.996645528,-121.787901448999,12,220
001A_shp,37.996765512,-121.788578748999,13,240
001A_shp,37.996885663,-121.789256000999,14,260
001A_shp,37.997005176,-121.789933433999,15,280
001A_shp,37.997123244,-121.790611271999,16,300
001A_shp,37.997239894,-121.791289503999,17,320
001A_shp,37.997355709,-121.791967965999,18,340
001A_shp,37.997470791,-121.792646627999,19,360
001A_shp,37.997585285,-121.793325449999,20,380
001A_shp,37.997698756,-121.794004546999,21,400
001A_shp,37.997811114,-121.794683939999,22,420
001A_shp,37.997921689,-121.795363799999,23,440
001A_shp,37.998027749,-121.796044804999,24,460
001A_shp,37.998118259,-121.796729350999,25,480
001A_shp,37.99818434,-121.797418320999,26,500
001A_shp,37.998225244,-121.798110411999,27,520
001A_shp,37.998243791,-121.798804053999,28,540
001A_shp,37.998250718,-121.799498065999,29,560
001A_shp,37.998254075,-121.800192128999,30,580
001A_shp,37.998256527,-121.800886198999,31,600
001A_shp,37.998257497,-121.801580273999,32,620
001A_shp,37.998257351,-121.802274349999,33,640
001A_shp,37.998256447,-121.802968424999,34,660
001A_shp,37.998255151,-121.803662499999,35,680
001A_shp,37.998253823,-121.804356574999,36,700
001A_shp,37.998252242,-121.805050647999,37,720
001A_shp,37.998249805,-121.805744716999,38,740
001A_shp,37.998246799,-121.806438782999,39,760
001A_shp,37.998243525,-121.807132846999,40,780
001A_shp,37.998240282,-121.807826911999,41,800
001A_shp,37.998237369,-121.808520977999,42,820
001A_shp,37.998235085,-121.809215046999,43,840
001A_shp,37.998233505,-121.809909120999,44,860
001A_shp,37.99823211,-121.810603194999,45,880
001A_shp,37.998231119,-121.811297269999,46,900
001A_shp,37.998230817,-121.811991345999,47,920
001A_shp,37.998231151,-121.812685421999,48,940
001A_shp,37.998232134,-121.813379496999,49,960
001A_shp,37.998235302,-121.814073560999,50,980
001A_shp,37.998240747,-121.814767598999,51,1000
001A_shp,37.998255751,-121.815461401999,52,1020
001A_shp,37.99829101,-121.816153981999,53,1040
001A_shp,37.998354135,-121.816843376999,54,1060
001A_shp,37.998444957,-121.817527830999,55,1080
001A_shp,37.998563929,-121.818205335999,56,1100
001A_shp,37.998709446,-121.818874543999,57,1120
001A_shp,37.998875851,-121.819535965999,58,1140
001A_shp,37.999054059,-121.820192493999,59,1160
001A_shp,37.999239416,-121.820845855999,60,1180
001A_shp,37.999428279,-121.821497613999,61,1200
001A_shp,37.999619945,-121.822148068999,62,1220
001A_shp,37.999808579,-121.822799936999,63,1240
001A_shp,37.999994597,-121.823453008999,64,1260
001A_shp,38.000178788,-121.824106906999,65,1280
001A_shp,38.000361285,-121.824761566999,66,1300
001A_shp,38.000542541,-121.825416778999,67,1320
001A_shp,38.000723012,-121.826072337999,68,1340
001A_shp,38.000903154,-121.826728041999,69,1360
001A_shp,38.001083359,-121.827383721999,70,1380
001A_shp,38.001262906,-121.828039689999,71,1400
001A_shp,38.001440417,-121.828696544999,72,1420
001A_shp,38.001614341,-121.829354930999,73,1440
001A_shp,38.001786508,-121.830014055999,74,1460
001A_shp,38.00195975,-121.830672731999,75,1480
001A_shp,38.002136098,-121.831330092999,76,1500
001A_shp,38.002314246,-121.831986679999,77,1520
001A_shp,38.002493651,-121.832642721999,78,1540
001A_shp,38.0026741,-121.833298306999,79,1560
001A_shp,38.002855926,-121.833953286999,80,1580
001A_shp,38.003038697,-121.834607846999,81,1600
001A_shp,38.003221887,-121.835262222999,82,1620
001A_shp,38.003405208,-121.835916541999,83,1640
001A_shp,38.003588961,-121.836570668999,84,1660
001A_shp,38.003773087,-121.837224629999,85,1680
001A_shp,38.003957611,-121.837878412999,86,1700
001A_shp,38.004142911,-121.838531845999,87,1720
001A_shp,38.004328836,-121.839184997999,88,1740
001A_shp,38.004515166,-121.839837967999,89,1760
001A_shp,38.004701677,-121.840490855999,90,1780
001A_shp,38.004888147,-121.841143765999,91,1800
001A_shp,38.005074358,-121.841796792999,92,1820
001A_shp,38.005260086,-121.842450042999,93,1840
001A_shp,38.005445111,-121.843103613999,94,1860
001A_shp,38.005629782,-121.843757343999,95,1880
001A_shp,38.005814331,-121.844411133,96,1900
001A_shp,38.005998429,-121.845065125999,97,1920
001A_shp,38.006181747,-121.845719470999,98,1940
001A_shp,38.006363978,-121.846374300999,99,1960
001A_shp,38.006545187,-121.847029585999,100,1980
001A_shp,38.006725764,-121.847685151999,101,2000
001A_shp,38.006906004,-121.848340865999,102,2020
001A_shp,38.007085371,-121.848996964999,103,2040
001A_shp,38.007264148,-121.849653322999,104,2060
001A_shp,38.007442874,-121.850309704999,105,2080
001A_shp,38.007622085,-121.850965876999,106,2100
001A_shp,38.007802324,-121.851621599999,107,2120
001A_shp,38.007984071,-121.852276658999,108,2140
001A_shp,38.008167053,-121.852931171999,109,2160
001A_shp,38.008350769,-121.853585356999,110,2180
001A_shp,38.008534721,-121.854239437999,111,2200
001A_shp,38.008718411,-121.854893636999,112,2220
001A_shp,38.008901341,-121.855548179999,113,2240
001A_shp,38.009083008,-121.856203283999,114,2260
001A_shp,38.009263193,-121.856859044999,115,2280
001A_shp,38.009442721,-121.857515093999,116,2300
001A_shp,38.009621194,-121.858171603999,117,2320
001A_shp,38.009798509,-121.858828617999,118,2340
001A_shp,38.009975119,-121.859485934999,119,2360
001A_shp,38.010148631,-121.860144568999,120,2380
001A_shp,38.010317586,-121.860805095999,121,2400
001A_shp,38.010482051,-121.861467429999,122,2420
001A_shp,38.010642037,-121.862131516999,123,2440
001A_shp,38.010798239,-121.862797042999,124,2460
001A_shp,38.010951025,-121.863463836999,125,2480
001A_shp,38.011103841,-121.864130620999,126,2500
001A_shp,38.011260038,-121.864796152999,127,2520
